id,repeat,work,logins_w4,logins_sem,nsub_w4,nE_trans_w4,pES_w4,EE,ES,SE,SS,labs_w4,labs_sem,midterm,last_week,noshow,exam,passed,theta,commit
1,1,0,4,15,9,4,0.5,2,2,0,0,1,4,2.5,13,0,4.5,0,-0.563133616247016,-1.5368174920762991
2,0,0,6,26,96,62,0.20967741935483872,49,13,8,12,3,5,2.5,13,0,1.5,0,-1.4878283238766785,-0.19796959723616442
3,0,0,11,40,34,11,0.45454545454545453,6,5,2,9,3,8,7.5,13,0,8.0,1,0.9632337397361136,-0.3436916706164838
4,1,0,10,16,13,2,,0,2,3,3,1,2,6.0,10,1,,0,-0.0335382317332526,-1.86194599703513
5,0,0,12,42,4,0,,0,0,0,1,1,3,,13,1,,0,0.8658679575859854,-1.988606892308573
6,0,1,15,38,8,1,,0,1,0,2,1,12,6.5,13,0,8.5,1,0.7283956085030545,1.146733594027128
7,1,0,7,22,10,1,,0,1,0,4,1,2,,10,1,,0,-1.8866960617742352,-3.5945070581238463
8,1,1,4,19,36,8,0.625,3,5,5,13,2,5,5.5,13,0,5.0,1,0.16105286258627083,-1.0468514275192378
9,0,1,26,90,0,0,,0,0,0,0,0,8,5.0,13,0,4.5,0,-0.31661923449650003,0.8444469135294627
10,0,0,6,40,76,30,0.5,15,15,6,21,4,8,6.5,13,0,8.5,1,0.1335332169051652,0.719277725694633
11,1,1,5,5,0,0,,0,0,0,0,0,1,,3,1,,0,-0.005927660568180726,-2.270940966029852
12,0,1,6,23,30,15,0.26666666666666666,11,4,4,6,1,5,3.0,9,1,,0,-1.5289808057521963,0.24612699618234615
13,0,0,11,31,60,19,0.42105263157894735,11,8,4,19,4,11,5.0,13,0,6.0,1,0.3661572220038946,-0.22532704318607072
14,0,0,7,31,65,32,0.4375,18,14,5,9,4,7,5.0,13,0,5.5,1,-0.1052309546798536,-0.3127276296120358
15,0,0,28,74,34,11,0.8181818181818182,2,9,1,8,3,8,6.0,13,0,6.0,1,0.8045573400822523,0.2461507966654203
16,0,1,12,34,72,37,0.40540540540540543,22,15,10,13,3,9,5.0,13,0,5.5,1,0.02559731476390301,-0.18792862960931053
17,0,0,10,44,48,14,0.5714285714285714,6,8,3,12,4,11,8.5,13,0,7.0,1,1.3038278970934725,0.41956408335248563
18,0,0,25,70,44,16,0.375,10,6,2,12,3,7,7.5,13,0,9.0,1,1.1946906561989732,-0.6505210982864041
19,0,0,10,49,83,41,0.3902439024390244,25,16,4,18,4,10,5.5,13,0,5.0,1,-0.14218727980471274,1.34260044059699
20,0,1,20,31,0,0,,0,0,0,0,0,3,,7,1,,0,-0.8566231038556045,-1.0125769165563094
21,1,0,8,8,47,36,0.16666666666666666,30,6,2,1,2,2,,4,1,,0,-1.395229772757644,-0.38442020627850393
22,0,1,16,51,29,13,0.5384615384615384,6,7,1,5,2,11,6.0,13,1,,0,0.6540446096489572,-0.2678648298520509
23,0,0,23,63,12,3,,1,2,0,4,1,8,7.5,13,0,9.5,1,1.0728184914359895,0.32750815065955274
24,0,1,12,46,23,7,0.7142857142857143,2,5,2,5,2,9,6.5,13,0,9.5,1,0.8284448088269855,-0.4050450040994942
25,1,0,10,21,118,94,0.0425531914893617,90,4,8,3,3,5,2.0,13,0,1.0,0,-2.854375413268285,-0.4968363410187081
26,0,0,17,48,102,60,0.26666666666666666,44,16,9,13,4,11,4.5,12,1,,0,-1.2144499847553354,0.25899979864374206
27,1,1,3,5,23,6,0.6666666666666666,2,4,5,3,2,2,,5,1,,0,0.6306454539451509,-2.0278173892330345
28,0,1,14,43,28,9,0.5555555555555556,4,5,2,7,2,8,7.5,13,0,7.5,1,0.8404704854969453,0.3443346778504507
29,0,0,24,74,40,10,0.6,4,6,1,9,4,11,7.0,13,0,7.5,1,0.91227133402162,0.6228654786201592
30,0,0,12,48,29,7,0.42857142857142855,4,3,1,7,3,6,,13,0,7.0,1,0.27303365877303304,-0.19947058748863422
31,0,0,17,58,13,8,0.375,5,3,0,0,1,7,5.0,13,0,5.0,1,-0.34497001959837276,-0.04193928926798045
32,0,0,24,56,119,85,0.1411764705882353,73,12,9,11,3,5,2.5,13,1,,0,-1.3381613872339282,-0.28501043409594484
33,1,0,5,12,23,9,0.1111111111111111,8,1,1,4,2,2,1.5,8,1,,0,-0.9406958374096097,-1.6521202488816746
34,0,1,16,57,18,8,0.375,5,3,0,2,2,10,,13,0,6.5,1,-0.03695534311686627,-0.10450366773293279
35,0,0,19,41,153,99,0.21212121212121213,78,21,15,19,4,9,,13,0,5.0,1,-1.2143734786487514,-0.06842818894065579
36,0,1,13,38,8,2,,1,1,0,2,1,9,4.5,13,0,4.5,0,0.06499859576353277,-0.4059395572235809
37,1,0,12,12,47,24,0.20833333333333334,19,5,4,10,2,2,,5,1,,0,-1.2451862707521815,-1.3339321643930642
38,1,1,7,8,0,0,,0,0,0,0,0,1,,5,1,,0,0.5487487637013777,-2.51332432937755
39,1,0,3,17,17,4,0.5,2,2,2,2,2,9,,13,1,,0,0.03332508664951217,-0.9736361033955727
40,1,0,4,4,63,35,0.22857142857142856,27,8,6,8,3,3,,3,1,,0,-1.1364644668876644,-1.0859982379373763
41,1,0,6,22,21,3,,1,2,1,7,2,6,,13,0,7.0,1,-0.20826853219716862,-1.0849418289689308
42,0,0,8,39,4,0,,0,0,0,0,1,6,,13,0,7.5,1,1.2336913201315058,-1.4963850808581036
43,1,0,3,10,6,0,,0,0,0,2,1,4,,13,0,4.5,0,-1.0538657673126461,-1.4161580015253856
44,1,0,8,20,58,24,0.375,15,9,4,12,4,9,3.0,13,0,4.5,0,-0.0988741813362222,-0.23204745904342272
45,0,0,16,51,25,2,,0,2,1,8,3,8,8.0,13,0,9.5,1,1.4262613376256212,0.7641551900089297
46,0,0,8,33,118,84,0.10714285714285714,75,9,9,6,4,6,3.0,13,0,0.5,0,-1.6665395060144692,-0.28526470388836317
47,0,0,14,47,42,15,0.6666666666666666,5,10,3,5,4,12,8.5,13,0,7.5,1,0.959853293964526,1.9647954833692487
48,0,1,20,79,28,9,0.6666666666666666,3,6,2,8,2,8,5.5,13,0,7.5,1,0.4690717277077161,2.430207593308224
49,0,0,17,53,38,13,0.38461538461538464,8,5,1,11,3,9,7.0,13,0,5.5,1,0.3305211402363451,0.20955304361959867
50,0,0,16,42,86,42,0.3333333333333333,28,14,6,20,4,11,6.0,13,0,6.5,1,-0.24854231252965242,0.39242900657464097
51,0,0,20,62,28,5,0.6,2,3,0,9,3,10,7.0,13,0,7.0,1,0.7419242296610198,0.2627029812278407
52,0,0,22,65,103,58,0.27586206896551724,42,16,6,20,4,11,3.0,13,0,4.5,0,-0.8303693274525008,1.5091838304950762
53,1,0,2,12,23,7,0.14285714285714285,6,1,1,0,3,5,5.5,13,1,,0,-0.20306726491480265,-2.0478598983450946
54,0,1,10,38,32,7,0.7142857142857143,2,5,0,9,4,12,8.5,13,0,8.5,1,1.7660531487024456,1.1088815545431265
55,0,0,13,48,31,11,0.45454545454545453,6,5,4,7,2,6,6.0,13,0,9.0,1,0.5086855654753183,-0.43461781551317985
56,0,1,17,48,0,0,,0,0,0,0,0,7,5.5,13,0,5.0,1,-0.4830467093111651,-1.1473199963224918
57,1,0,8,19,49,28,0.14285714285714285,24,4,3,9,2,5,1.5,9,1,,0,-1.5812730081297108,-0.9423917581784551
58,0,0,34,102,81,42,0.38095238095238093,26,16,7,14,4,8,6.0,13,0,6.5,1,-0.4215450018006542,0.6717202667121854
59,0,0,17,32,47,18,0.4444444444444444,10,8,4,10,3,8,4.5,13,0,5.0,1,-0.40058927522461585,-0.9909357115946156
60,1,0,10,22,10,2,,1,1,2,1,1,3,0.0,13,0,2.5,0,-1.840345144888109,-1.7836401703650768
61,1,0,4,12,52,31,0.0967741935483871,28,3,5,6,2,4,1.5,10,1,,0,-2.064602813671334,-1.0919521855106864
62,1,0,5,13,48,19,0.3684210526315789,12,7,3,12,3,6,1.5,9,1,,0,-0.8660844770131155,-1.5567723541127843
63,0,0,20,53,69,46,0.2608695652173913,34,12,5,5,3,9,5.0,13,0,4.0,0,-0.53900809137944,-0.16655885633595385
64,0,1,13,41,45,19,0.47368421052631576,10,9,2,11,3,7,3.5,13,0,6.0,1,-0.6885067450319587,0.23130971897724534
65,0,0,19,51,67,43,0.20930232558139536,34,9,4,6,3,7,5.5,13,0,4.5,0,-0.7788909297794026,0.8683525625432923
66,1,0,8,13,25,8,0.5,4,4,1,4,3,7,3.5,13,0,4.0,0,-0.04506607601485535,-0.6200055326662565
67,0,1,14,46,10,5,0.6,2,3,1,0,1,9,,13,0,4.5,0,0.1406672072984352,-0.18637325003361893
