id,repeat,work,logins_w4,logins_sem,nsub_w4,nE_trans_w4,pES_w4,EE,ES,SE,SS,labs_w4,labs_sem,midterm,last_week,noshow,exam,passed,theta,commit
1,1,0,6,6,55,26,0.2692307692307692,19,7,3,8,4,5,,5,1,,0,-0.41009940097747316,-1.3890337628231615
2,1,0,6,16,19,4,0.5,2,2,1,5,2,3,1.5,13,0,3.5,0,-0.8983319834462868,-2.051871137392112
3,1,0,6,20,50,26,0.15384615384615385,22,4,7,10,2,7,3.5,13,0,5.5,1,-1.019637703825357,-0.72537859316725
4,0,0,17,54,40,8,0.875,1,7,3,15,3,9,5.0,13,0,9.0,1,0.3107404748068414,-0.38139645818869733
5,0,0,19,32,89,45,0.28888888888888886,32,13,10,17,4,7,4.0,8,1,,0,-0.6353835325574534,0.5332883537918184
6,0,0,10,33,28,12,0.4166666666666667,7,5,1,1,3,8,4.0,13,0,8.5,1,0.3074672138246835,-0.553034810281058
7,0,1,30,90,31,22,0.22727272727272727,17,5,3,1,1,9,2.0,13,0,3.5,0,-1.9488773644218158,-0.5781362964299132
8,0,0,22,68,41,11,0.6363636363636364,4,7,4,9,4,9,7.5,13,0,5.5,1,0.5836874768942483,0.804713929153682
9,0,0,11,13,5,1,,1,0,0,0,1,1,,5,1,,0,-1.3020853804712782,-1.6044905263444746
10,0,0,9,35,106,56,0.30357142857142855,39,17,13,18,4,8,4.0,13,0,3.0,0,-1.101411145418563,0.09009542694883087
11,0,0,20,60,115,60,0.36666666666666664,38,22,14,24,4,9,5.0,13,0,5.0,1,-0.5429056036840906,1.4035935283542693
12,1,0,1,11,7,0,,0,0,1,1,1,6,8.0,13,0,6.0,1,0.9278509713199714,-0.4827702672206836
13,0,0,32,82,33,8,0.75,2,6,1,9,3,8,6.0,13,0,7.5,1,0.33206532577403314,-0.029363056002137594
14,0,0,39,85,35,7,0.7142857142857143,2,5,1,9,4,11,8.0,13,0,7.5,1,1.410233062503833,0.25007121193626985
15,0,0,30,83,39,12,0.6666666666666666,4,8,3,10,3,9,6.5,13,0,7.5,1,0.7755063168000844,0.412625126712213
16,1,1,6,18,124,82,0.2073170731707317,65,17,13,14,3,8,1.5,13,0,2.5,0,-1.288075943888606,0.2831387122950457
17,0,0,15,41,121,81,0.18518518518518517,66,15,9,13,4,9,4.5,12,1,,0,-1.0166567438785787,1.4407271444857395
18,1,0,5,20,10,3,,3,0,2,1,1,4,,13,1,,0,-0.5097398723960027,-3.3039952088154037
19,1,0,6,20,50,21,0.3333333333333333,14,7,4,9,4,10,4.0,13,0,5.0,1,-0.7143354584452313,-0.49772922683659193
20,0,0,15,40,46,24,0.375,15,9,5,8,2,5,,9,1,,0,0.21467534226392485,-0.8794467118257433
21,1,0,7,9,112,65,0.2,52,13,11,19,4,7,3.0,13,0,5.0,1,-1.2792036840926404,-0.12740776764415096
22,0,0,18,66,41,11,0.8181818181818182,2,9,3,8,4,8,9.5,13,0,10.0,1,1.6605385847674858,0.18351378830335663
23,0,0,11,50,67,31,0.4838709677419355,16,15,8,11,4,11,5.5,13,0,7.5,1,-0.04016807153540831,0.5759369198546687
24,0,0,6,41,277,213,0.1267605633802817,186,27,19,25,4,9,2.5,13,0,3.0,0,-1.918789388174345,2.4408261233950665
25,1,1,11,13,22,9,0.3333333333333333,6,3,3,2,2,5,,7,1,,0,-0.6610025441113909,-0.9636501436177447
26,0,1,20,48,30,15,0.4,9,6,5,5,1,10,3.0,13,0,5.5,1,-0.032857444555910525,0.6831444422693901
27,1,0,7,11,80,55,0.18181818181818182,45,10,10,3,3,3,,6,1,,0,-1.9341047165140552,-0.999642594896026
28,0,0,20,45,37,6,0.8333333333333334,1,5,1,10,4,12,7.5,13,0,8.0,1,1.5324056435352147,1.0526280007035431
29,0,0,24,56,164,116,0.1810344827586207,95,21,13,21,3,7,2.0,13,0,4.5,0,-1.5540485571337086,1.1567494792338615
30,0,0,19,69,76,34,0.5,17,17,8,15,4,10,5.0,13,0,3.5,0,-0.23083704418147916,0.6860819296914585
31,0,0,20,58,45,12,0.6666666666666666,4,8,3,10,4,7,6.0,13,0,8.5,1,0.9044201359850584,-0.05006804554629375
32,1,0,9,29,98,62,0.1935483870967742,50,12,5,12,4,8,3.5,13,0,4.0,0,-0.6356585936264778,-0.6500784421426807
33,0,1,23,72,45,15,0.6,6,9,2,14,3,10,5.5,13,0,6.5,1,0.2020604685270094,0.42084054702975854
34,0,0,13,61,91,62,0.16129032258064516,52,10,9,7,3,6,3.0,13,0,2.0,0,-1.5909571895677646,-0.7304274564956588
35,1,1,4,19,9,3,,2,1,0,2,1,7,5.0,13,0,5.5,1,0.31133822540933825,-0.6307654333515805
36,0,0,22,74,33,16,0.4375,9,7,2,2,3,8,3.5,13,0,7.0,1,0.11985556950378563,-0.12118688088382165
37,0,0,21,48,72,45,0.17777777777777778,37,8,7,6,3,5,,13,0,1.5,0,-1.7231737798059066,-0.9457321134371518
38,1,0,11,23,33,10,0.6,4,6,1,7,3,8,6.0,13,0,7.5,1,-0.047796047384228824,-0.2581237134582217
39,0,1,23,44,32,15,0.6,6,9,2,6,2,7,3.0,8,1,,0,-0.38901228214735645,0.20793890416658165
40,1,1,6,14,7,2,,1,1,0,1,1,7,6.0,13,0,7.5,1,0.6953745423118287,-0.6070517859156711
41,1,1,3,3,0,0,,0,0,0,0,0,1,,2,1,,0,0.20777552932132665,-0.34636416458461283
