student_id,w1,w2,w3,w4
1,0,2,2,2
2,2,1,2,1
3,3,2,0,1
4,2,4,4,7
5,6,4,3,6
6,2,2,2,4
7,7,10,4,9
8,5,3,7,7
9,1,3,1,6
10,2,2,2,3
11,3,4,7,6
12,0,0,1,0
13,7,10,5,10
14,15,6,7,11
15,10,5,5,10
16,3,0,1,2
17,0,6,4,5
18,3,0,1,1
19,4,0,2,0
20,6,2,3,4
21,2,4,1,0
22,3,5,7,3
23,2,5,1,3
24,0,1,2,3
25,5,1,4,1
26,7,5,3,5
27,1,1,2,3
28,8,6,3,3
29,8,8,3,5
30,3,5,6,5
31,2,8,6,4
32,4,2,2,1
33,5,2,8,8
34,2,4,5,2
35,1,1,2,0
36,3,10,5,4
37,8,2,8,3
38,3,4,3,1
39,7,3,7,6
40,0,1,2,3
41,2,1,0,0
42,0,3,2,1
43,2,2,3,2
44,6,3,4,4
45,3,1,3,2
46,2,3,5,1
47,3,4,2,2
48,3,2,1,0
49,1,2,0,0
50,2,2,2,2
51,4,6,4,4
52,1,0,0,1
53,3,0,2,3
54,2,2,6,3
55,3,2,2,3
56,8,5,3,4
57,4,1,1,1
58,3,4,5,2
59,3,12,2,4
60,3,4,5,1
61,3,3,1,2
62,0,2,2,2
63,6,8,1,2
64,3,3,2,2
65,2,0,2,0
66,3,3,4,2
67,3,4,4,3
68,2,3,0,2
69,0,0,0,0
70,1,2,1,0
71,7,5,3,2
72,0,0,1,3
73,3,10,2,4
74,2,2,4,5
75,6,5,3,5
76,1,1,1,0
77,1,4,2,5
78,5,2,2,3
79,10,3,2,3
80,1,0,1,2
81,4,1,4,3
82,1,2,1,1
83,0,1,1,0
84,6,2,1,2
85,4,4,0,2
86,1,4,2,3
87,2,1,1,0
88,2,3,2,3
89,1,2,0,1
90,4,3,0,3
91,3,4,8,5
92,1,1,4,4
93,3,3,2,2
94,8,2,7,4
95,2,3,1,1
96,4,2,6,4
97,4,3,2,4
98,1,1,0,3
99,2,2,5,3
100,0,4,3,0
101,2,2,0,2
102,3,1,1,2
103,3,3,1,3
104,1,5,4,7
105,2,6,6,4
106,6,1,3,4
107,2,3,1,4
108,3,5,3,6
109,3,3,3,0
110,2,2,8,5
111,1,0,2,4
112,3,6,4,3
113,3,1,7,6
114,1,2,0,2
115,2,1,6,3
116,2,1,1,6
117,4,2,2,2
118,2,2,2,4
119,5,7,5,4
120,6,2,4,5
121,1,5,4,3
122,3,1,1,3
123,7,7,3,6
124,3,8,4,2
125,0,3,9,5
126,4,3,6,1
127,5,10,8,7
128,5,13,3,4
129,2,1,1,2
130,2,1,2,3
131,4,4,8,5
132,0,2,1,2
133,1,3,5,0
134,2,3,3,1
135,3,4,4,4
136,1,2,3,5
137,6,5,1,4
138,5,1,1,2
139,3,6,4,1
140,4,3,3,3
141,6,12,5,5
142,0,1,0,2
143,2,3,1,5
144,8,8,7,3
145,2,3,3,5
146,2,2,6,6
147,0,2,0,2
148,4,2,1,0
149,3,3,2,4
150,1,6,1,4
151,6,3,2,5
152,2,0,3,6
153,3,1,2,3
154,1,2,2,0
155,2,1,0,2
156,0,1,3,5
157,2,2,4,2
158,0,0,0,1
159,1,1,2,1
160,1,1,1,0
161,3,4,5,5
162,1,1,0,2
163,2,5,3,5
164,4,4,0,4
165,2,0,0,0
166,5,2,2,6
167,3,10,5,5
168,2,1,1,2
169,0,2,0,2
170,1,2,1,1
171,1,1,2,2
172,1,0,1,0
173,3,0,0,1
174,2,4,3,5
175,3,3,3,3
176,5,0,0,1
177,1,1,0,1
178,1,4,2,3
179,6,2,4,3
180,2,2,6,5
181,6,4,4,4
182,3,10,1,5
183,2,2,4,4
184,6,3,1,4
185,5,1,5,1
186,2,4,7,7
187,5,0,2,3
188,1,3,4,3
189,5,5,6,12
190,3,2,2,3
191,1,0,1,1
192,11,4,2,2
193,0,0,0,0
194,6,6,4,5
195,2,4,2,4
196,1,1,0,2
197,1,2,0,1
198,1,1,2,1
199,3,0,4,4
200,3,3,1,1
201,3,6,3,8
202,4,3,6,5
203,4,5,2,7
204,3,5,4,1
205,4,5,1,8
206,1,5,2,2
207,1,3,2,1
208,4,4,7,3
209,6,1,1,4
210,0,1,0,1
211,4,0,2,1
212,0,3,0,0
213,1,0,1,4
214,10,3,4,5
215,5,3,4,7
216,3,5,10,7
217,5,1,0,1
218,4,6,1,0
219,4,3,3,4
220,2,0,3,3
221,0,1,1,1
222,1,6,4,4
223,1,4,1,3
224,8,6,6,5
225,6,7,5,4
226,1,2,0,2
227,1,5,4,5
228,4,4,5,4
229,6,5,4,3
230,3,3,3,5
231,0,3,1,0
232,7,3,7,5
233,2,1,2,3
234,3,2,4,1
235,3,4,11,7
236,2,5,5,4
237,2,2,1,1
238,2,7,3,5
239,7,7,8,2
240,6,3,6,4
241,2,1,2,6
242,8,6,3,2
243,1,3,1,5
244,5,9,6,5
245,4,4,6,7
246,3,5,2,4
247,5,2,4,6
248,1,2,6,7
249,3,2,2,3
250,1,2,1,1
251,2,2,1,3
252,4,7,3,6
253,0,2,0,0
254,1,2,4,2
255,4,4,3,1
256,1,2,0,3
257,4,1,6,2
258,3,2,1,2
259,7,9,6,13
260,3,9,7,5
261,8,5,6,0
262,4,0,2,3
263,1,2,7,3
264,5,7,3,5
265,2,2,2,1
266,0,6,5,3
267,4,3,1,6
268,2,7,1,2
269,3,4,1,0
270,2,6,6,4
271,7,2,6,2
272,6,4,0,3
273,2,2,9,5
274,4,3,3,5
275,3,5,5,3
276,0,4,5,10
277,5,8,3,7
278,1,2,1,1
279,2,1,2,3
280,2,9,2,8
281,3,7,2,5
282,3,2,3,1
283,3,0,2,2
284,2,1,0,1
285,2,2,3,0
286,1,2,0,0
287,5,8,5,1
288,5,1,2,3
289,5,3,5,0
290,3,3,5,5
291,2,2,2,0
292,1,2,0,4
293,5,3,4,6
294,2,2,4,1
295,4,1,2,2
296,3,3,2,5
297,3,5,4,7
298,9,3,10,4
