student_id,enrolment,works,logins_w1_4,submissions_w1_4,EE,ES,SE,SS,p_ES_w1_4,sheets_on_time_w1_4,sheets_semester,midterm,exam,no_show,passed,last_active_week
1,repeat,0,4,9,2,2,0,0,0.5,1,4,2.5,4.5,0,0,13
2,first,0,6,96,49,13,8,12,0.2097,3,5,2.5,1.5,0,0,13
3,first,0,11,34,6,5,2,9,0.4545,3,8,7.5,8.0,0,1,13
4,repeat,0,10,13,0,2,3,3,,1,2,6.0,,1,0,10
5,first,0,12,4,0,0,0,1,,1,3,,,1,0,13
6,first,1,15,8,0,1,0,2,,1,12,6.5,8.5,0,1,13
7,repeat,0,7,10,0,1,0,4,,1,2,,,1,0,10
8,repeat,1,4,36,3,5,5,13,0.625,2,5,5.5,5.0,0,1,13
9,first,1,26,0,0,0,0,0,,0,8,5.0,4.5,0,0,13
10,first,0,6,76,15,15,6,21,0.5,4,8,6.5,8.5,0,1,13
11,repeat,1,5,0,0,0,0,0,,0,1,,,1,0,3
12,first,1,6,30,11,4,4,6,0.2667,1,5,3.0,,1,0,9
13,first,0,11,60,11,8,4,19,0.4211,4,11,5.0,6.0,0,1,13
14,first,0,7,65,18,14,5,9,0.4375,4,7,5.0,5.5,0,1,13
15,first,0,28,34,2,9,1,8,0.8182,3,8,6.0,6.0,0,1,13
16,first,1,12,72,22,15,10,13,0.4054,3,9,5.0,5.5,0,1,13
17,first,0,10,48,6,8,3,12,0.5714,4,11,8.5,7.0,0,1,13
18,first,0,25,44,10,6,2,12,0.375,3,7,7.5,9.0,0,1,13
19,first,0,10,83,25,16,4,18,0.3902,4,10,5.5,5.0,0,1,13
20,first,1,20,0,0,0,0,0,,0,3,,,1,0,7
21,repeat,0,8,47,30,6,2,1,0.1667,2,2,,,1,0,4
22,first,1,16,29,6,7,1,5,0.5385,2,11,6.0,,1,0,13
23,first,0,23,12,1,2,0,4,,1,8,7.5,9.5,0,1,13
24,first,1,12,23,2,5,2,5,0.7143,2,9,6.5,9.5,0,1,13
25,repeat,0,10,118,90,4,8,3,0.0426,3,5,2.0,1.0,0,0,13
26,first,0,17,102,44,16,9,13,0.2667,4,11,4.5,,1,0,12
27,repeat,1,3,23,2,4,5,3,0.6667,2,2,,,1,0,5
28,first,1,14,28,4,5,2,7,0.5556,2,8,7.5,7.5,0,1,13
29,first,0,24,40,4,6,1,9,0.6,4,11,7.0,7.5,0,1,13
30,first,0,12,29,4,3,1,7,0.4286,3,6,,7.0,0,1,13
31,first,0,17,13,5,3,0,0,0.375,1,7,5.0,5.0,0,1,13
32,first,0,24,119,73,12,9,11,0.1412,3,5,2.5,,1,0,13
33,repeat,0,5,23,8,1,1,4,0.1111,2,2,1.5,,1,0,8
34,first,1,16,18,5,3,0,2,0.375,2,10,,6.5,0,1,13
35,first,0,19,153,78,21,15,19,0.2121,4,9,,5.0,0,1,13
36,first,1,13,8,1,1,0,2,,1,9,4.5,4.5,0,0,13
37,repeat,0,12,47,19,5,4,10,0.2083,2,2,,,1,0,5
38,repeat,1,7,0,0,0,0,0,,0,1,,,1,0,5
39,repeat,0,3,17,2,2,2,2,0.5,2,9,,,1,0,13
40,repeat,0,4,63,27,8,6,8,0.2286,3,3,,,1,0,3
41,repeat,0,6,21,1,2,1,7,,2,6,,7.0,0,1,13
42,first,0,8,4,0,0,0,0,,1,6,,7.5,0,1,13
43,repeat,0,3,6,0,0,0,2,,1,4,,4.5,0,0,13
44,repeat,0,8,58,15,9,4,12,0.375,4,9,3.0,4.5,0,0,13
45,first,0,16,25,0,2,1,8,,3,8,8.0,9.5,0,1,13
