student_id,enrolment,works,logins_w1_4,submissions_w1_4,EE,ES,SE,SS,p_ES_w1_4,sheets_on_time_w1_4
1,repeat,0,6,55,19,7,3,8,0.2692,4
2,repeat,0,6,19,2,2,1,5,0.5,2
3,repeat,0,6,50,22,4,7,10,0.1538,2
4,first,0,17,40,1,7,3,15,0.875,3
5,first,0,19,89,32,13,10,17,0.2889,4
6,first,0,10,28,7,5,1,1,0.4167,3
7,first,1,30,31,17,5,3,1,0.2273,1
8,first,0,22,41,4,7,4,9,0.6364,4
9,first,0,11,5,1,0,0,0,,1
10,first,0,9,106,39,17,13,18,0.3036,4
11,first,0,20,115,38,22,14,24,0.3667,4
12,repeat,0,1,7,0,0,1,1,,1
13,first,0,32,33,2,6,1,9,0.75,3
14,first,0,39,35,2,5,1,9,0.7143,4
15,first,0,30,39,4,8,3,10,0.6667,3
16,repeat,1,6,124,65,17,13,14,0.2073,3
17,first,0,15,121,66,15,9,13,0.1852,4
18,repeat,0,5,10,3,0,2,1,,1
19,repeat,0,6,50,14,7,4,9,0.3333,4
20,first,0,15,46,15,9,5,8,0.375,2
21,repeat,0,7,112,52,13,11,19,0.2,4
22,first,0,18,41,2,9,3,8,0.8182,4
23,first,0,11,67,16,15,8,11,0.4839,4
24,first,0,6,277,186,27,19,25,0.1268,4
25,repeat,1,11,22,6,3,3,2,0.3333,2
26,first,1,20,30,9,6,5,5,0.4,1
27,repeat,0,7,80,45,10,10,3,0.1818,3
28,first,0,20,37,1,5,1,10,0.8333,4
29,first,0,24,164,95,21,13,21,0.181,3
30,first,0,19,76,17,17,8,15,0.5,4
31,first,0,20,45,4,8,3,10,0.6667,4
32,repeat,0,9,98,50,12,5,12,0.1935,4
33,first,1,23,45,6,9,2,14,0.6,3
34,first,0,13,91,52,10,9,7,0.1613,3
35,repeat,1,4,9,2,1,0,2,,1
36,first,0,22,33,9,7,2,2,0.4375,3
37,first,0,21,72,37,8,7,6,0.1778,3
38,repeat,0,11,33,4,6,1,7,0.6,3
39,first,1,23,32,6,9,2,6,0.6,2
40,repeat,1,6,7,1,1,0,1,,1
41,repeat,1,3,0,0,0,0,0,,0
42,repeat,1,6,12,8,0,0,0,0.0,1
43,first,1,9,30,18,3,4,0,0.1429,1
44,first,0,17,59,10,10,5,14,0.5,4
45,repeat,0,9,11,0,0,0,6,,1
46,first,0,11,28,7,7,0,4,0.5,2
47,first,0,11,38,8,6,3,7,0.4286,3
48,repeat,0,6,45,13,2,4,12,0.1333,3
49,repeat,0,3,30,8,6,3,3,0.4286,2
50,repeat,0,8,84,38,13,7,7,0.2549,4
51,first,0,18,89,27,15,9,22,0.3571,4
52,repeat,1,2,58,36,2,5,5,0.0526,3
53,first,0,8,36,12,4,2,6,0.25,3
54,first,0,13,37,2,7,3,12,0.7778,3
55,first,0,10,28,8,3,1,6,0.2727,2
56,first,0,20,37,4,8,2,8,0.6667,4
57,repeat,0,7,31,13,2,2,6,0.1333,2
58,first,0,14,39,5,10,5,4,0.6667,3
59,first,0,21,49,12,8,4,9,0.4,4
60,first,0,13,82,28,15,6,18,0.3488,3
61,first,0,9,64,13,11,7,16,0.4583,4
62,repeat,0,6,18,2,0,1,6,,2
63,first,0,17,14,2,3,1,3,0.6,1
64,first,1,10,0,0,0,0,0,,0
65,repeat,0,4,82,47,6,5,11,0.1132,3
66,first,0,12,72,15,16,9,12,0.5161,4
67,first,0,14,59,17,9,3,17,0.3462,3
68,first,1,7,14,2,1,0,1,,2
69,repeat,0,0,50,8,7,5,13,0.4667,4
70,repeat,0,4,86,28,14,4,21,0.3333,4
71,first,0,17,112,39,18,8,28,0.3158,4
72,repeat,0,4,15,4,1,1,4,0.2,1
73,first,0,19,161,107,19,10,11,0.1508,3
74,first,0,13,27,4,4,2,3,0.5,3
75,first,0,19,200,121,23,11,26,0.1597,4
76,first,0,3,99,37,14,5,23,0.2745,4
77,first,1,12,14,0,2,1,6,,1
78,first,1,12,55,40,3,3,4,0.0698,1
79,first,0,18,91,31,19,12,13,0.38,4
80,first,0,4,121,55,21,12,14,0.2763,4
81,first,0,12,119,60,17,11,12,0.2208,4
82,repeat,0,5,65,37,7,5,6,0.1591,2
83,repeat,0,2,59,13,13,5,8,0.5,4
84,first,0,11,81,20,12,8,22,0.375,4
85,repeat,1,10,18,8,3,2,1,0.2727,1
86,repeat,1,10,18,5,4,3,2,0.4444,1
87,repeat,0,4,61,37,6,3,2,0.1395,3
88,first,1,10,45,18,6,2,9,0.25,2
89,repeat,0,4,35,6,9,4,6,0.6,2
90,first,1,10,33,10,5,0,9,0.3333,2
91,first,1,20,0,0,0,0,0,,0
92,repeat,0,10,113,53,15,12,13,0.2206,4
93,first,0,10,181,139,9,8,5,0.0608,4
94,first,1,21,33,8,5,3,12,0.3846,1
95,first,0,7,74,29,13,7,10,0.3095,3
96,first,0,16,49,18,9,6,5,0.3333,3
97,first,0,13,59,14,11,3,13,0.44,4
98,repeat,1,5,21,8,3,2,3,0.2727,1
99,first,0,12,39,9,7,5,8,0.4375,2
100,repeat,0,7,34,1,6,1,8,0.8571,4
101,repeat,0,6,17,1,3,1,4,0.75,2
102,first,1,7,26,8,4,1,4,0.3333,2
103,first,0,10,51,19,8,3,7,0.2963,3
104,first,0,17,0,0,0,0,0,,0
105,first,0,18,45,8,9,1,13,0.5294,3
106,first,1,14,135,75,20,13,12,0.2105,3
107,first,0,10,56,16,10,2,15,0.3846,3
108,first,1,17,0,0,0,0,0,,0
109,first,0,9,27,3,5,1,6,0.625,3
110,first,0,17,32,0,3,1,11,,4
111,repeat,0,7,0,0,0,0,0,,0
112,first,0,16,20,0,1,1,3,,3
113,first,0,17,45,8,7,4,12,0.4667,3
114,repeat,0,5,0,0,0,0,0,,0
115,first,0,12,22,0,1,0,7,,3
116,first,0,10,53,10,10,3,11,0.5,4
