student_id,enrolment,works,logins_w1_4,submissions_w1_4,EE,ES,SE,SS,p_ES_w1_4,sheets_on_time_w1_4,sheets_semester,midterm,exam,no_show,passed,last_active_week,skill,commitment
1,repeat,0,4,9,2,2,0,0,0.5,1,4,2.5,4.5,0,0,13,-0.5631,-1.5368
2,first,0,6,96,49,13,8,12,0.2097,3,5,2.5,1.5,0,0,13,-1.4878,-0.198
3,first,0,11,34,6,5,2,9,0.4545,3,8,7.5,8.0,0,1,13,0.9632,-0.3437
4,repeat,0,10,13,0,2,3,3,,1,2,6.0,,1,0,10,-0.0335,-1.8619
5,first,0,12,4,0,0,0,1,,1,3,,,1,0,13,0.8659,-1.9886
6,first,1,15,8,0,1,0,2,,1,12,6.5,8.5,0,1,13,0.7284,1.1467
7,repeat,0,7,10,0,1,0,4,,1,2,,,1,0,10,-1.8867,-3.5945
8,repeat,1,4,36,3,5,5,13,0.625,2,5,5.5,5.0,0,1,13,0.1611,-1.0469
9,first,1,26,0,0,0,0,0,,0,8,5.0,4.5,0,0,13,-0.3166,0.8444
10,first,0,6,76,15,15,6,21,0.5,4,8,6.5,8.5,0,1,13,0.1335,0.7193
11,repeat,1,5,0,0,0,0,0,,0,1,,,1,0,3,-0.0059,-2.2709
12,first,1,6,30,11,4,4,6,0.2667,1,5,3.0,,1,0,9,-1.529,0.2461
13,first,0,11,60,11,8,4,19,0.4211,4,11,5.0,6.0,0,1,13,0.3662,-0.2253
14,first,0,7,65,18,14,5,9,0.4375,4,7,5.0,5.5,0,1,13,-0.1052,-0.3127
15,first,0,28,34,2,9,1,8,0.8182,3,8,6.0,6.0,0,1,13,0.8046,0.2462
16,first,1,12,72,22,15,10,13,0.4054,3,9,5.0,5.5,0,1,13,0.0256,-0.1879
17,first,0,10,48,6,8,3,12,0.5714,4,11,8.5,7.0,0,1,13,1.3038,0.4196
18,first,0,25,44,10,6,2,12,0.375,3,7,7.5,9.0,0,1,13,1.1947,-0.6505
19,first,0,10,83,25,16,4,18,0.3902,4,10,5.5,5.0,0,1,13,-0.1422,1.3426
20,first,1,20,0,0,0,0,0,,0,3,,,1,0,7,-0.8566,-1.0126
21,repeat,0,8,47,30,6,2,1,0.1667,2,2,,,1,0,4,-1.3952,-0.3844
22,first,1,16,29,6,7,1,5,0.5385,2,11,6.0,,1,0,13,0.654,-0.2679
23,first,0,23,12,1,2,0,4,,1,8,7.5,9.5,0,1,13,1.0728,0.3275
24,first,1,12,23,2,5,2,5,0.7143,2,9,6.5,9.5,0,1,13,0.8284,-0.405
25,repeat,0,10,118,90,4,8,3,0.0426,3,5,2.0,1.0,0,0,13,-2.8544,-0.4968
26,first,0,17,102,44,16,9,13,0.2667,4,11,4.5,,1,0,12,-1.2144,0.259
27,repeat,1,3,23,2,4,5,3,0.6667,2,2,,,1,0,5,0.6306,-2.0278
28,first,1,14,28,4,5,2,7,0.5556,2,8,7.5,7.5,0,1,13,0.8405,0.3443
29,first,0,24,40,4,6,1,9,0.6,4,11,7.0,7.5,0,1,13,0.9123,0.6229
30,first,0,12,29,4,3,1,7,0.4286,3,6,,7.0,0,1,13,0.273,-0.1995
31,first,0,17,13,5,3,0,0,0.375,1,7,5.0,5.0,0,1,13,-0.345,-0.0419
32,first,0,24,119,73,12,9,11,0.1412,3,5,2.5,,1,0,13,-1.3382,-0.285
33,repeat,0,5,23,8,1,1,4,0.1111,2,2,1.5,,1,0,8,-0.9407,-1.6521
34,first,1,16,18,5,3,0,2,0.375,2,10,,6.5,0,1,13,-0.037,-0.1045
35,first,0,19,153,78,21,15,19,0.2121,4,9,,5.0,0,1,13,-1.2144,-0.0684
36,first,1,13,8,1,1,0,2,,1,9,4.5,4.5,0,0,13,0.065,-0.4059
37,repeat,0,12,47,19,5,4,10,0.2083,2,2,,,1,0,5,-1.2452,-1.3339
38,repeat,1,7,0,0,0,0,0,,0,1,,,1,0,5,0.5487,-2.5133
39,repeat,0,3,17,2,2,2,2,0.5,2,9,,,1,0,13,0.0333,-0.9736
40,repeat,0,4,63,27,8,6,8,0.2286,3,3,,,1,0,3,-1.1365,-1.086
41,repeat,0,6,21,1,2,1,7,,2,6,,7.0,0,1,13,-0.2083,-1.0849
42,first,0,8,4,0,0,0,0,,1,6,,7.5,0,1,13,1.2337,-1.4964
43,repeat,0,3,6,0,0,0,2,,1,4,,4.5,0,0,13,-1.0539,-1.4162
44,repeat,0,8,58,15,9,4,12,0.375,4,9,3.0,4.5,0,0,13,-0.0989,-0.232
45,first,0,16,25,0,2,1,8,,3,8,8.0,9.5,0,1,13,1.4263,0.7642
46,first,0,8,118,75,9,9,6,0.1071,4,6,3.0,0.5,0,0,13,-1.6665,-0.2853
47,first,0,14,42,5,10,3,5,0.6667,4,12,8.5,7.5,0,1,13,0.9599,1.9648
48,first,1,20,28,3,6,2,8,0.6667,2,8,5.5,7.5,0,1,13,0.4691,2.4302
49,first,0,17,38,8,5,1,11,0.3846,3,9,7.0,5.5,0,1,13,0.3305,0.2096
