student_id,enrolment,works,logins_w1_4,submissions_w1_4,EE,ES,SE,SS,p_ES_w1_4,sheets_on_time_w1_4,sheets_semester,midterm,exam,no_show,passed,last_active_week,skill,commitment
1,repeat,0,6,55,19,7,3,8,0.2692,4,5,,,1,0,5,-0.4101,-1.389
2,repeat,0,6,19,2,2,1,5,0.5,2,3,1.5,3.5,0,0,13,-0.8983,-2.0519
3,repeat,0,6,50,22,4,7,10,0.1538,2,7,3.5,5.5,0,1,13,-1.0196,-0.7254
4,first,0,17,40,1,7,3,15,0.875,3,9,5.0,9.0,0,1,13,0.3107,-0.3814
5,first,0,19,89,32,13,10,17,0.2889,4,7,4.0,,1,0,8,-0.6354,0.5333
6,first,0,10,28,7,5,1,1,0.4167,3,8,4.0,8.5,0,1,13,0.3075,-0.553
7,first,1,30,31,17,5,3,1,0.2273,1,9,2.0,3.5,0,0,13,-1.9489,-0.5781
8,first,0,22,41,4,7,4,9,0.6364,4,9,7.5,5.5,0,1,13,0.5837,0.8047
9,first,0,11,5,1,0,0,0,,1,1,,,1,0,5,-1.3021,-1.6045
10,first,0,9,106,39,17,13,18,0.3036,4,8,4.0,3.0,0,0,13,-1.1014,0.0901
11,first,0,20,115,38,22,14,24,0.3667,4,9,5.0,5.0,0,1,13,-0.5429,1.4036
12,repeat,0,1,7,0,0,1,1,,1,6,8.0,6.0,0,1,13,0.9279,-0.4828
13,first,0,32,33,2,6,1,9,0.75,3,8,6.0,7.5,0,1,13,0.3321,-0.0294
14,first,0,39,35,2,5,1,9,0.7143,4,11,8.0,7.5,0,1,13,1.4102,0.2501
15,first,0,30,39,4,8,3,10,0.6667,3,9,6.5,7.5,0,1,13,0.7755,0.4126
16,repeat,1,6,124,65,17,13,14,0.2073,3,8,1.5,2.5,0,0,13,-1.2881,0.2831
17,first,0,15,121,66,15,9,13,0.1852,4,9,4.5,,1,0,12,-1.0167,1.4407
18,repeat,0,5,10,3,0,2,1,,1,4,,,1,0,13,-0.5097,-3.304
19,repeat,0,6,50,14,7,4,9,0.3333,4,10,4.0,5.0,0,1,13,-0.7143,-0.4977
20,first,0,15,46,15,9,5,8,0.375,2,5,,,1,0,9,0.2147,-0.8794
21,repeat,0,7,112,52,13,11,19,0.2,4,7,3.0,5.0,0,1,13,-1.2792,-0.1274
22,first,0,18,41,2,9,3,8,0.8182,4,8,9.5,10.0,0,1,13,1.6605,0.1835
23,first,0,11,67,16,15,8,11,0.4839,4,11,5.5,7.5,0,1,13,-0.0402,0.5759
24,first,0,6,277,186,27,19,25,0.1268,4,9,2.5,3.0,0,0,13,-1.9188,2.4408
25,repeat,1,11,22,6,3,3,2,0.3333,2,5,,,1,0,7,-0.661,-0.9637
26,first,1,20,30,9,6,5,5,0.4,1,10,3.0,5.5,0,1,13,-0.0329,0.6831
