id,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13
1,1,0,1,2,1,1,3,2,1,0,0,2,1
2,0,2,2,2,1,3,2,2,2,3,2,3,2
3,4,0,4,3,6,1,3,4,2,4,3,4,2
4,2,2,1,5,0,1,2,1,1,1,0,0,0
5,2,2,4,4,3,5,1,5,5,3,3,2,3
6,1,2,6,6,1,2,4,3,3,2,3,4,1
7,0,4,1,2,3,3,1,4,1,3,0,0,0
8,3,1,0,0,2,2,1,3,2,1,1,0,3
9,10,8,4,4,9,10,4,8,3,9,7,9,5
10,2,1,2,1,3,3,6,5,5,5,3,3,1
11,1,2,2,0,0,0,0,0,0,0,0,0,0
12,1,2,0,3,1,7,5,1,3,0,0,0,0
13,3,1,4,3,1,2,7,2,1,1,1,3,2
14,3,3,0,1,4,5,2,3,4,1,2,2,1
15,6,7,5,10,10,7,4,2,4,3,3,6,7
16,2,3,2,5,1,1,3,2,1,3,3,7,1
17,1,3,4,2,3,4,5,3,2,2,7,3,5
18,5,6,9,5,2,4,3,5,10,5,6,4,6
19,1,4,2,3,4,5,4,2,7,1,4,8,4
20,6,10,2,2,3,4,4,0,0,0,0,0,0
21,1,5,0,2,0,0,0,0,0,0,0,0,0
22,4,5,4,3,7,3,3,1,3,5,3,5,5
23,3,8,6,6,3,4,4,2,5,5,5,10,2
24,3,4,3,2,1,4,6,5,2,2,8,5,1
25,1,3,2,4,0,1,3,2,0,0,2,1,2
26,6,2,3,6,5,1,6,2,5,2,4,6,0
27,0,2,0,1,2,0,0,0,0,0,0,0,0
28,0,5,7,2,2,3,3,5,2,2,3,5,4
29,4,2,10,8,6,7,4,8,4,5,6,3,7
30,3,2,5,2,3,3,2,4,6,3,6,7,2
31,2,7,4,4,6,6,5,2,4,4,4,6,4
32,5,5,7,7,7,4,1,6,1,2,5,4,2
33,2,1,0,2,1,1,0,5,0,0,0,0,0
34,2,4,5,5,4,8,2,7,4,4,4,4,4
35,5,4,5,5,2,3,1,2,3,1,3,5,2
36,5,2,2,4,4,3,2,3,1,1,4,5,2
37,5,2,3,2,0,0,0,0,0,0,0,0,0
38,1,2,1,3,1,0,0,0,0,0,0,0,0
39,1,0,1,1,3,4,1,2,2,0,1,0,1
40,3,0,1,0,0,0,0,0,0,0,0,0,0
41,1,2,2,1,4,1,1,2,2,0,2,1,3
42,1,2,2,3,5,3,2,3,1,4,6,3,4
43,1,1,0,1,0,1,1,0,0,1,1,0,3
44,3,1,3,1,4,0,3,0,1,0,3,1,0
45,5,6,3,2,4,3,3,5,2,2,6,4,6
46,3,3,1,1,2,0,4,3,4,3,2,5,2
47,3,2,3,6,0,7,3,7,3,4,2,4,3
48,5,6,4,5,7,5,8,7,4,9,8,4,7
49,5,3,3,6,7,2,4,5,2,5,3,5,3
50,4,6,3,3,3,3,4,1,5,1,2,4,3
51,6,4,6,4,5,7,1,5,3,6,4,6,5
52,2,6,8,6,4,6,7,2,10,3,5,2,4
53,1,0,0,1,2,1,3,1,0,1,1,0,1
54,4,4,0,2,1,3,1,3,4,4,7,2,3
55,2,5,4,2,2,4,2,5,4,4,5,5,4
56,1,4,10,2,3,3,3,3,5,2,3,2,7
57,3,2,0,3,1,4,2,2,2,0,0,0,0
58,5,15,9,5,3,7,7,9,8,8,8,9,9
59,5,3,6,3,2,1,2,1,2,2,2,2,1
60,4,1,2,3,2,0,1,1,0,2,1,3,2
61,1,1,2,0,2,1,1,3,0,1,0,0,0
62,1,1,2,1,1,1,3,2,1,0,0,0,0
63,7,4,4,5,4,2,6,5,4,4,1,4,3
64,2,1,5,5,3,5,2,2,3,4,2,3,4
65,6,5,4,4,0,2,8,3,3,5,1,6,4
66,2,2,1,3,0,0,0,2,1,0,0,1,1
67,4,2,5,3,4,5,4,4,2,3,4,5,1
68,5,5,3,4,5,1,4,1,2,2,3,1,0
69,3,2,1,1,6,2,3,1,1,4,2,3,3
70,5,2,2,1,1,1,3,0,2,0,0,2,0
71,2,2,2,3,9,7,5,6,3,1,4,5,8
72,0,0,1,1,0,0,0,2,0,5,2,1,0
73,2,1,0,3,2,1,0,2,0,0,0,0,0
74,3,5,2,8,4,7,0,4,3,0,5,4,3
75,1,3,0,0,0,1,0,1,1,1,0,0,0
