id,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13
1,0,2,2,2,0,0,0,0,0,0,0,0,0
2,2,1,2,1,0,4,0,1,0,1,0,1,3
3,3,2,0,1,1,1,3,1,1,3,1,2,1
4,2,4,4,7,6,3,5,4,3,4,0,8,4
5,6,4,3,6,6,3,4,0,0,0,0,0,0
6,2,2,2,4,0,4,3,6,2,0,2,4,2
7,7,10,4,9,4,6,6,6,10,3,13,5,7
8,5,3,7,7,7,7,3,6,4,0,5,6,8
9,1,3,1,6,2,0,0,0,0,0,0,0,0
10,2,2,2,3,1,3,2,3,6,0,4,5,2
11,3,4,7,6,3,5,4,10,2,5,3,4,4
12,0,0,1,0,1,1,1,2,1,1,2,1,0
13,7,10,5,10,5,7,5,5,8,5,5,3,7
14,15,6,7,11,9,4,2,7,3,3,7,6,5
15,10,5,5,10,10,6,2,7,6,10,8,2,2
16,3,0,1,2,5,0,0,1,2,1,1,2,0
17,0,6,4,5,4,2,3,1,2,4,6,4,0
18,3,0,1,1,1,1,0,1,1,2,1,1,7
19,4,0,2,0,1,0,3,1,2,1,2,2,2
20,6,2,3,4,4,4,8,8,1,0,0,0,0
21,2,4,1,0,0,1,0,0,1,0,0,0,0
22,3,5,7,3,4,9,8,4,6,3,6,4,4
23,2,5,1,3,3,2,7,4,6,0,5,5,7
24,0,1,2,3,4,2,2,6,5,4,5,4,3
25,5,1,4,1,1,0,1,0,0,0,0,0,0
26,7,5,3,5,3,2,6,0,2,2,7,5,1
27,1,1,2,3,2,2,0,0,0,0,0,0,0
28,8,6,3,3,1,4,1,1,4,6,2,4,2
29,8,8,3,5,2,6,2,1,2,6,3,3,7
30,3,5,6,5,7,5,6,4,0,5,11,5,7
31,2,8,6,4,4,3,5,3,2,3,7,7,4
32,4,2,2,1,1,1,2,1,1,2,1,6,5
33,5,2,8,8,11,7,1,7,6,5,6,4,2
34,2,4,5,2,7,7,7,2,9,3,4,1,8
35,1,1,2,0,1,5,3,2,0,0,1,1,2
36,3,10,5,4,6,6,2,7,7,6,3,6,9
37,8,2,8,3,3,0,5,2,2,2,3,5,5
38,3,4,3,1,0,0,3,1,3,1,1,2,1
39,7,3,7,6,5,4,5,7,0,0,0,0,0
40,0,1,2,3,1,0,1,0,1,1,0,1,3
41,2,1,0,0,0,0,0,0,0,0,0,0,0
42,0,3,2,1,3,0,0,0,0,0,0,0,0
43,2,2,3,2,5,3,3,1,4,2,0,5,2
44,6,3,4,4,4,3,2,2,4,1,6,2,5
45,3,1,3,2,2,3,2,2,0,0,0,0,0
46,2,3,5,1,1,1,1,4,3,2,2,1,2
47,3,4,2,2,6,4,0,3,5,8,5,4,3
48,3,2,1,0,0,0,0,0,0,0,0,0,0
49,1,2,0,0,1,0,0,0,0,0,0,0,0
50,2,2,2,2,3,0,4,3,1,0,0,0,0
51,4,6,4,4,4,7,4,7,4,6,4,3,2
52,1,0,0,1,1,3,1,0,0,0,5,0,1
53,3,0,2,3,4,3,1,3,3,2,4,4,1
54,2,2,6,3,5,0,0,0,0,0,0,0,0
55,3,2,2,3,2,5,2,4,0,0,0,0,0
56,8,5,3,4,3,5,6,0,0,0,0,0,0
57,4,1,1,1,0,2,0,0,0,0,1,1,3
58,3,4,5,2,3,1,3,1,5,5,3,2,1
59,3,12,2,4,1,6,2,2,6,4,4,5,4
60,3,4,5,1,4,1,2,4,5,3,2,4,1
61,3,3,1,2,4,4,2,0,2,2,2,5,2
62,0,2,2,2,2,2,1,1,1,1,1,4,0
63,6,8,1,2,8,5,7,7,0,0,0,0,0
64,3,3,2,2,2,3,1,1,4,3,6,2,5
65,2,0,2,0,2,0,3,1,1,0,0,0,0
66,3,3,4,2,5,4,5,4,0,2,8,2,1
67,3,4,4,3,4,5,2,2,3,1,0,3,5
68,2,3,0,2,1,4,1,4,5,2,3,1,3
69,0,0,0,0,0,0,3,2,0,0,0,0,0
70,1,2,1,0,3,2,0,3,1,1,1,1,6
71,7,5,3,2,2,7,1,1,2,5,0,0,0
72,0,0,1,3,4,1,3,0,0,1,6,0,1
73,3,10,2,4,4,7,2,4,4,1,5,4,4
74,2,2,4,5,2,3,5,5,4,1,3,4,3
75,6,5,3,5,5,3,5,2,2,4,2,4,4
76,1,1,1,0,1,1,6,0,1,2,0,6,3
77,1,4,2,5,3,4,0,0,0,0,0,0,0
78,5,2,2,3,3,4,5,3,5,5,6,6,2
79,10,3,2,3,1,2,6,3,3,4,4,5,3
80,1,0,1,2,3,0,6,0,2,4,3,0,0
81,4,1,4,3,2,0,4,4,3,5,1,2,3
82,1,2,1,1,0,1,1,1,1,1,0,0,0
83,0,1,1,0,0,1,2,1,1,1,0,0,0
84,6,2,1,2,6,6,4,3,1,3,3,4,3
85,4,4,0,2,0,2,1,0,0,1,4,1,1
86,1,4,2,3,0,4,2,4,0,3,0,0,0
87,2,1,1,0,2,2,1,1,1,1,1,4,1
88,2,3,2,3,5,1,5,5,3,5,0,7,2
89,1,2,0,1,2,0,0,1,0,0,0,0,2
90,4,3,0,3,8,0,0,0,0,0,0,0,0
91,3,4,8,5,1,5,5,5,6,6,5,5,5
92,1,1,4,4,4,1,1,1,4,3,2,0,0
93,3,3,2,2,4,3,0,1,3,4,0,3,3
94,8,2,7,4,4,4,8,10,8,5,4,4,4
95,2,3,1,1,1,1,2,4,5,3,4,3,2
96,4,2,6,4,5,7,5,2,4,3,3,4,5
97,4,3,2,4,8,4,1,7,4,4,3,5,1
98,1,1,0,3,0,1,0,1,0,0,2,3,2
99,2,2,5,3,2,2,3,5,4,4,7,3,2
100,0,4,3,0,0,1,2,2,1,0,1,0,1
101,2,2,0,2,2,2,0,2,2,5,1,0,2
102,3,1,1,2,3,3,1,3,1,0,4,2,4
103,3,3,1,3,1,6,4,3,1,4,2,1,5
104,1,5,4,7,2,4,0,0,0,0,0,0,0
105,2,6,6,4,7,4,5,6,6,6,6,7,7
106,6,1,3,4,4,3,6,2,2,6,3,1,3
107,2,3,1,4,4,2,3,0,2,0,1,0,0
108,3,5,3,6,5,5,5,1,6,5,2,4,8
109,3,3,3,0,1,5,4,1,4,4,3,3,3
110,2,2,8,5,7,3,9,2,2,4,4,6,7
111,1,0,2,4,1,2,2,0,4,0,0,0,0
112,3,6,4,3,2,2,2,2,4,2,1,6,4
113,3,1,7,6,4,4,8,3,2,2,4,5,3
114,1,2,0,2,2,2,1,2,1,1,2,2,2
115,2,1,6,3,1,4,3,1,5,2,1,2,5
116,2,1,1,6,0,1,2,4,2,1,2,3,4
117,4,2,2,2,2,2,0,7,5,7,2,5,2
118,2,2,2,4,0,1,1,0,1,0,2,0,4
119,5,7,5,4,1,4,4,4,7,3,4,1,5
120,6,2,4,5,4,2,3,3,4,3,2,8,4
121,1,5,4,3,4,5,8,5,4,1,4,1,4
122,3,1,1,3,2,4,3,0,2,3,5,2,2
123,7,7,3,6,6,3,3,4,6,4,3,7,6
124,3,8,4,2,2,5,7,2,3,3,3,5,3
125,0,3,9,5,0,0,0,0,0,0,0,0,0
126,4,3,6,1,3,8,5,4,6,4,2,4,0
127,5,10,8,7,7,6,3,10,6,5,10,4,4
128,5,13,3,4,4,10,3,6,8,3,7,3,7
129,2,1,1,2,1,5,4,1,0,6,2,3,3
130,2,1,2,3,2,1,1,1,2,3,1,1,2
131,4,4,8,5,3,9,5,7,5,3,4,4,4
132,0,2,1,2,2,0,0,1,1,0,4,1,1
133,1,3,5,0,1,0,2,3,0,0,1,1,0
134,2,3,3,1,6,0,2,5,4,5,7,2,5
135,3,4,4,4,5,5,8,6,2,2,8,0,0
136,1,2,3,5,8,1,3,2,1,3,1,2,4
137,6,5,1,4,3,3,4,5,4,1,9,4,1
138,5,1,1,2,6,3,4,6,1,1,2,3,3
139,3,6,4,1,3,4,2,3,4,4,6,6,6
140,4,3,3,3,0,0,0,0,0,0,0,0,0
141,6,12,5,5,4,6,3,3,1,7,3,2,2
142,0,1,0,2,0,3,1,2,1,0,1,1,1
143,2,3,1,5,1,3,2,2,2,4,3,6,3
144,8,8,7,3,1,4,5,4,4,3,4,3,3
145,2,3,3,5,2,2,5,1,2,4,1,6,3
146,2,2,6,6,2,4,1,5,6,4,3,4,4
147,0,2,0,2,1,1,3,0,0,0,0,0,0
148,4,2,1,0,2,1,2,0,1,1,2,5,1
149,3,3,2,4,4,3,1,3,4,4,3,3,8
150,1,6,1,4,2,2,3,3,3,1,0,4,2
151,6,3,2,5,2,2,0,0,0,0,0,0,0
152,2,0,3,6,0,1,1,2,2,0,0,0,0
153,3,1,2,3,1,4,3,6,3,2,2,4,7
154,1,2,2,0,3,2,0,0,0,0,0,0,0
155,2,1,0,2,2,0,0,0,0,0,0,0,0
156,0,1,3,5,2,3,7,6,2,7,0,2,1
157,2,2,4,2,2,0,2,0,0,3,4,0,0
158,0,0,0,1,2,2,1,0,1,2,2,2,2
159,1,1,2,1,2,0,0,0,0,0,0,0,0
160,1,1,1,0,0,2,2,1,3,1,0,0,1
161,3,4,5,5,2,3,3,1,4,5,4,3,3
162,1,1,0,2,2,0,0,0,0,0,0,0,0
163,2,5,3,5,1,2,6,5,1,2,5,2,5
164,4,4,0,4,5,10,6,2,5,2,4,4,3
165,2,0,0,0,1,1,2,1,1,1,2,1,2
166,5,2,2,6,7,8,3,4,4,7,7,4,6
167,3,10,5,5,5,5,3,0,0,0,0,0,0
168,2,1,1,2,2,3,2,4,2,1,2,1,0
